episode,episodic_reward
332,38871.99
333,59658.44
334,59740.1
335,59795.33000000001
336,61657.530000000006
337,74751.81
338,52178.14
339,127537.72999999998
340,59755.299999999996
341,67384.3
342,44573.310000000005
343,67262.32
344,67266.88
345,52210.49
346,44614.52
347,47945.67
348,111838.86000000002
349,96757.40000000001
350,67363.59
351,22504.05
352,170390.86
353,51632.22
354,65965.16
355,59755.42999999999
356,66888.91
357,233590.36000000004
358,72390.42
359,59646.850000000006
360,67320.72
361,134584.88
362,96079.09
363,126104.57
364,66482.68
365,110718.6
366,118734.92
367,66899.0
368,51825.520000000004
369,51644.91
370,51791.450000000004
371,51778.48
372,51590.899999999994
373,118255.24
374,51949.53
375,51908.8
376,87909.11000000002
377,66394.31
378,66814.87
379,51831.2
380,66704.72
381,95970.42000000001
382,59276.43
383,110464.2
384,59094.42
385,59313.63
386,110572.60999999999
387,51699.03
388,51875.450000000004
389,59361.299999999996
390,52038.68
391,67204.44999999998
392,59415.91
393,126820.51999999999
394,67038.37
395,156283.27000000002
396,7250.03
397,62091.11
398,59735.659999999996
399,59546.85
400,67134.31
401,67278.11
402,52150.42999999999
403,57498.24
404,59087.71
405,87896.8
406,95286.19
407,95461.95000000001
408,58902.090000000004
409,21474.12
410,74208.33
411,74021.34999999999
412,154789.39
413,66665.27
414,51458.89
415,51768.049999999996
416,59287.59999999999
417,103984.95
418,51940.47
419,59323.450000000004
420,66572.31
421,74501.04
422,52060.27
423,59660.07
424,52146.2
425,121350.69
426,66380.06
427,51919.649999999994
428,118278.97
429,74348.48
430,66712.75
431,51557.81999999999
432,44260.08
433,59493.13999999999
434,59692.04999999999
435,111087.62000000002
436,57664.090000000004
437,67398.58
438,67371.12000000001
439,74670.98
440,59392.810000000005
441,52107.47
442,74545.74
443,65297.5
444,51617.43000000001
445,58901.97999999999
446,103110.69999999997
447,59572.83
448,59653.85999999999
449,59633.69
450,59632.810000000005
451,104326.42
452,21816.03
453,66387.04
454,74884.69
455,59805.359999999986
456,59743.479999999996
457,67308.26
458,59705.17
459,37023.25
460,37001.29
461,67202.45
462,22503.98
463,52180.6
464,132368.44000000003
465,59078.71
466,59298.84000000001
467,59463.71
468,51904.03
469,58431.759999999995
470,59598.259999999995
471,74487.23000000001
472,126693.12
473,167370.48
474,59683.27000000001
475,67150.2
