step,action,action_feedback,avg_execution_time,cpu,episode,episodic_reward,mean_reward,mem,n-step_reward,replicas,requests,throughput
59,-1.0,1.0,0.0020000000949949026,0.07959999889135361,3.0,59662.62109375,69276.34375,0.17170000076293945,7502.14013671875,3.0,1.0,100.0
60,0.0,0.0,0.0020000000949949026,0.07959999889135361,4.0,51863.4609375,68986.125,0.17170000076293945,-100.0,3.0,1.0,100.0
61,-2.0,1.0,1.0509999990463257,0.00430000014603138,4.0,36805.28125,68458.5703125,0.17759999632835388,7502.27001953125,1.0,1.0,100.0
62,0.0,0.0,1.0509999990463257,0.00430000014603138,4.0,59429.6796875,68312.9453125,0.17759999632835388,-100.0,1.0,1.0,100.0
63,2.0,1.0,0.0,0.18320000171661377,4.0,66468.5078125,68283.671875,0.13830000162124634,7503.02001953125,3.0,0.0,100.0
64,-1.0,1.0,0.6790000200271606,0.04809999838471413,4.0,51735.6796875,68025.109375,0.2142000049352646,7503.02978515625,2.0,6.0,100.0
65,-2.0,0.0,0.6790000200271606,0.04809999838471413,4.0,59401.94921875,67892.4453125,0.2142000049352646,-100.0,2.0,6.0,100.0
66,-2.0,0.0,0.6790000200271606,0.04809999838471413,4.0,67275.328125,67883.09375,0.2142000049352646,-100.0,2.0,6.0,100.0
67,1.0,1.0,0.003000000026077032,0.12139999866485596,4.0,41294.58984375,67486.25,0.15230000019073486,7502.419921875,3.0,6.0,100.0
68,2.0,1.0,1.1549999713897705,0.035999998450279236,4.0,36998.41015625,67037.8984375,0.16619999706745148,7498.52978515625,5.0,2.0,100.0
69,2.0,1.0,0.006000000052154064,0.042500000447034836,4.0,59728.4609375,66931.96875,0.13920000195503235,7493.27001953125,7.0,2.0,100.0
70,-1.0,1.0,0.007000000216066837,0.005200000014156103,5.0,111690.859375,67571.375,0.14489999413490295,7495.6298828125,6.0,2.0,100.0
71,2.0,1.0,0.7369999885559082,0.07500000298023224,5.0,51916.55859375,67350.890625,0.1444000005722046,7490.490234375,8.0,13.0,100.0
72,1.0,1.0,1.3760000467300415,0.03909999877214432,5.0,59524.9609375,67242.1953125,0.15049999952316284,7486.3701171875,9.0,1.0,100.0
73,0.0,0.0,1.3760000467300415,0.03909999877214432,5.0,111712.2890625,67851.375,0.15049999952316284,-100.0,9.0,1.0,100.0
74,-2.0,1.0,0.003000000026077032,0.0038999998942017555,5.0,67104.90625,67841.2890625,0.15379999577999115,7492.97021484375,7.0,1.0,100.0
75,-2.0,1.0,0.0,0.00419999985024333,5.0,64965.05078125,67802.9375,0.15860000252723694,7498.0400390625,5.0,0.0,100.0
76,-2.0,1.0,2.555000066757202,0.37599998712539673,5.0,59732.078125,67696.7421875,0.30000001192092896,6218.2001953125,3.0,46.0,91.0
77,2.0,1.0,4.809000015258789,0.32519999146461487,5.0,67226.171875,67690.6328125,0.15029999613761902,7501.93994140625,5.0,2.0,100.0
78,2.0,1.0,1.0269999504089355,0.09769999980926514,5.0,67379.828125,67686.6484375,0.16110000014305115,7494.240234375,7.0,9.0,100.0
79,0.0,0.0,1.0269999504089355,0.09769999980926514,5.0,67387.65625,67682.859375,0.16110000014305115,-100.0,7.0,9.0,100.0
80,2.0,1.0,6.835999965667725,0.09839999675750732,5.0,50382.1484375,67466.6015625,0.15240000188350677,3254.139892578125,9.0,3.0,66.0
81,-1.0,1.0,0.0020000000949949026,0.003800000064074993,5.0,50377.76171875,67255.625,0.14569999277591705,7489.6201171875,8.0,1.0,100.0
82,1.0,1.0,5.110000133514404,0.05130000039935112,5.0,59719.87890625,67163.7265625,0.14300000667572021,7486.43017578125,9.0,1.0,100.0
83,-2.0,1.0,0.9020000100135803,0.0044999998062849045,5.0,59550.66015625,67072.0078125,0.1501999944448471,7492.93017578125,7.0,2.0,100.0
84,-1.0,1.0,0.9480000138282776,0.004100000020116568,5.0,126797.953125,67783.03125,0.15539999306201935,7495.740234375,6.0,12.0,100.0
85,1.0,1.0,0.003000000026077032,0.004100000020116568,5.0,44671.5,67511.125,0.1559000015258789,7493.0,7.0,1.0,100.0
86,1.0,1.0,0.003000000026077032,0.029500000178813934,5.0,67368.90625,67509.4765625,0.15199999511241913,7490.02001953125,8.0,1.0,100.0
87,0.0,0.0,0.003000000026077032,0.029500000178813934,5.0,59305.2109375,67415.171875,0.15199999511241913,-100.0,8.0,1.0,100.0
88,1.0,1.0,0.5550000071525574,0.04809999838471413,5.0,67408.0078125,67415.09375,0.1624000072479248,7486.6298828125,9.0,10.0,100.0
89,1.0,1.0,0.492000013589859,0.03290000185370445,5.0,51543.421875,67236.7578125,0.15860000252723694,7482.14013671875,10.0,2.0,100.0
90,-2.0,1.0,1.3229999542236328,0.004000000189989805,6.0,44454.140625,66983.6171875,0.16359999775886536,7489.83984375,8.0,10.0,100.0
91,-2.0,1.0,0.42399999499320984,0.06679999828338623,6.0,74921.7109375,67070.8515625,0.17010000348091125,7496.7099609375,6.0,28.0,100.0
92,-2.0,1.0,1.371000051498413,0.012199999764561653,6.0,52213.05078125,66909.3515625,0.17219999432563782,7500.06005859375,4.0,1.0,100.0
93,1.0,1.0,2.618000030517578,0.15029999613761902,6.0,127129.578125,67556.8828125,0.16859999299049377,7499.990234375,5.0,2.0,100.0
94,2.0,1.0,1.194000005722046,0.03849999979138374,6.0,59755.80859375,67473.890625,0.1606999933719635,7493.490234375,7.0,14.0,100.0
95,0.0,0.0,1.194000005722046,0.03849999979138374,6.0,44447.55078125,67231.5078125,0.1606999933719635,-100.0,7.0,14.0,100.0
96,-1.0,1.0,0.0020000000949949026,0.004999999888241291,6.0,51960.87890625,67072.4375,0.1679999977350235,7495.91015625,6.0,1.0,100.0
97,1.0,1.0,4.4120001792907715,0.03460000082850456,6.0,59160.7890625,66990.875,0.16130000352859497,7493.4501953125,7.0,1.0,100.0
98,1.0,1.0,0.7509999871253967,0.00419999985024333,6.0,118483.3671875,67516.3125,0.15620000660419464,7489.759765625,8.0,2.0,100.0
