timestamp,avg_execution_time,throughput,requests,replicas,avg_cpu,avg_mem,cold,idle_on,busy,init_total,init_reserved,nsgd_cost,has_rejection,lstm_ppo_reward,reward_throughput,reward_cpu,reward_mem,reward_replicas,proxy_requests,proxy_rejections,avg_response_latency_ms,p99_response_latency_ms
1777982874.6439383,2.783,100.0,4,12,0.0359,0.1786,12,7,5,0,0,19,False,7472.43,7500.0,0.4488,2.2325,-30.25,4,0,2787.82,1915.0
1777982904.6597428,5.27,93.75,16,14,0.2589,0.197,10,3,11,0,0,17,False,6555.25,6591.7969,3.2363,2.4625,-42.25,20,1,4537.23,10101.41
1777982934.6776063,2.782,85.71,7,14,0.172,0.1843,10,13,1,0,0,27,False,5471.86,5509.6531,2.15,2.3037,-42.25,16,4,5464.45,10222.45
1777982964.6920836,3.822,77.27,44,24,0.3384,0.2119,0,23,1,0,0,47,False,4352.62,4477.9897,4.23,2.6488,-132.25,42,9,4928.52,10179.99
1777982994.7064712,3.126,100.0,16,24,0.091,0.1814,0,22,2,0,0,46,False,7371.15,7500.0,1.1375,2.2675,-132.25,15,0,3293.93,5590.46
1777983024.7209516,2.645,100.0,20,16,0.1133,0.189,8,16,0,0,0,32,False,7447.53,7500.0,1.4163,2.3625,-56.25,19,2,3456.46,10004.69
1777983054.7370837,3.294,100.0,9,16,0.0463,0.1772,8,14,2,0,0,30,False,7446.54,7500.0,0.5787,2.215,-56.25,9,0,3092.85,5320.15
1777983084.7501144,3.869,100.0,8,12,0.206,0.199,12,12,0,0,0,24,False,7474.81,7500.0,2.575,2.4875,-30.25,10,0,3994.55,7049.23
1777983114.763247,4.488,83.05,59,24,0.3957,0.2128,0,19,5,0,0,43,False,5048.33,5172.9769,4.9463,2.66,-132.25,51,9,4873.18,10469.31
1777983144.7774587,2.911,100.0,4,24,0.1491,0.1637,0,24,0,0,0,48,False,7371.66,7500.0,1.8638,2.0463,-132.25,11,0,3016.64,5696.8
1777983174.7915719,3.071,92.86,14,22,0.0221,0.1683,2,19,3,0,0,41,False,6359.36,6467.2347,0.2762,2.1038,-110.25,14,1,3121.95,4587.69
1777983204.8048952,3.401,100.0,21,13,0.0759,0.1803,11,12,1,0,0,25,False,7467.2,7500.0,0.9487,2.2537,-36.0,21,2,4011.47,10116.56
1777983234.818021,2.787,100.0,19,13,0.1417,0.1806,7,4,9,4,0,37,False,7468.03,7500.0,1.7712,2.2575,-36.0,17,0,2804.29,3981.99
1777983264.83201,4.01,86.21,29,19,0.3666,0.1812,5,15,4,0,0,34,False,5499.97,5574.1231,4.5825,2.265,-81.0,35,6,4449.38,10123.22
1777983294.8460374,4.036,75.0,4,19,0.1788,0.1755,5,17,2,0,0,36,False,4142.18,4218.75,2.235,2.1937,-81.0,12,1,3735.46,7565.05
1777983324.8597798,3.281,100.0,15,19,0.0682,0.178,5,18,1,0,0,37,False,7422.08,7500.0,0.8525,2.225,-81.0,15,0,3515.17,8422.25
1777983354.8737326,3.289,100.0,20,14,0.0582,0.1802,10,14,0,0,0,28,False,7460.73,7500.0,0.7275,2.2525,-42.25,18,0,3550.79,7156.6
1777983384.8879373,2.363,100.0,7,14,0.1094,0.1806,10,7,7,0,0,21,False,7461.38,7500.0,1.3675,2.2575,-42.25,6,0,2367.33,2411.87
1777983414.9040504,4.595,64.1,39,24,0.3542,0.1863,0,24,0,0,0,48,False,2956.11,3081.6075,4.4275,2.3287,-132.25,42,12,5369.57,10338.73
1777983444.9194317,3.855,100.0,15,24,0.1484,0.1685,0,24,0,0,0,48,False,7371.71,7500.0,1.855,2.1063,-132.25,15,0,3642.76,8274.95
1777983474.9364305,1.749,100.0,2,13,0.0045,0.1821,11,11,2,0,0,24,False,7466.33,7500.0,0.0562,2.2763,-36.0,2,0,1753.23,1676.88
1777983504.9492943,4.116,80.0,10,11,0.2533,0.2052,13,5,6,0,0,16,False,4780.73,4800.0,3.1663,2.565,-25.0,17,2,3953.2,10271.7
1777983534.962287,5.035,83.72,43,24,0.2457,0.2122,0,4,20,0,0,28,False,5130.25,5256.7788,3.0713,2.6525,-132.25,42,6,4804.7,10348.56
1777983564.9758317,3.976,64.52,31,24,0.3662,0.1885,0,24,0,0,0,48,False,2996.81,3122.1228,4.5775,2.3563,-132.25,37,11,6604.76,10527.56
1777983594.9905014,3.951,100.0,22,24,0.0459,0.1692,0,24,0,0,0,48,False,7370.44,7500.0,0.5738,2.115,-132.25,19,0,3956.35,6864.88
1777983625.0061564,3.534,100.0,19,22,0.1271,0.182,2,21,1,0,0,43,False,7393.61,7500.0,1.5887,2.275,-110.25,18,0,3352.8,7129.85
1777983655.0201151,3.468,97.87,47,18,0.0279,0.181,6,16,2,0,0,34,False,7114.26,7183.9027,0.3488,2.2625,-72.25,42,1,3605.58,8073.78
1777983685.036978,3.898,95.0,20,18,0.2402,0.195,6,18,0,0,0,36,False,6701.94,6768.75,3.0025,2.4375,-72.25,19,1,4207.75,9810.42
1777983715.0503383,4.063,100.0,9,14,0.0624,0.186,10,5,9,0,0,19,False,7460.85,7500.0,0.78,2.325,-42.25,8,0,4072.52,6769.2
1777983745.064553,2.344,66.67,18,14,0.2202,0.1926,10,10,4,0,0,24,False,3296.58,3333.6667,2.7525,2.4075,-42.25,21,5,5113.67,10462.43
1777983775.0794318,1.934,75.0,8,14,0.2124,0.1859,0,0,14,10,10,1264,True,4181.48,4218.75,2.655,2.3237,-42.25,13,2,3613.54,10103.81
1777983805.095217,5.165,59.57,47,24,0.386,0.208,0,24,0,0,0,48,False,2536.61,2661.4387,4.825,2.6,-132.25,56,15,6293.69,10530.4
1777983835.11089,1.596,100.0,4,24,0.0565,0.1757,0,21,3,0,0,45,False,7370.65,7500.0,0.7063,2.1963,-132.25,4,0,1599.83,1627.25
1777983865.1486375,3.612,100.0,12,14,0.0969,0.1937,10,13,1,0,0,27,False,7461.38,7500.0,1.2112,2.4213,-42.25,15,0,3395.13,6154.3
1777983895.1653671,2.691,100.0,19,13,0.0742,0.1861,11,13,0,0,0,26,False,7467.25,7500.0,0.9275,2.3262,-36.0,18,0,2904.71,7468.75
1777983925.1788895,4.606,91.49,47,24,0.0422,0.1817,0,23,1,0,0,47,False,6148.36,6277.8151,0.5275,2.2713,-132.25,43,6,4948.77,10122.79
1777983955.195752,2.73,100.0,19,24,0.257,0.1718,0,24,0,0,0,48,False,7373.11,7500.0,3.2125,2.1475,-132.25,17,1,3194.06,5835.03
1777983985.2120743,2.362,100.0,8,24,0.0224,0.1685,0,18,6,0,0,42,False,7370.14,7500.0,0.28,2.1063,-132.25,7,0,2370.35,3718.87
1777984015.2252972,3.565,100.0,20,24,0.1263,0.1786,0,22,2,0,0,46,False,7371.56,7500.0,1.5787,2.2325,-132.25,25,0,3767.69,7205.08
1777984045.238855,1.463,100.0,1,23,0.0914,0.1765,1,22,1,0,0,45,False,7382.35,7500.0,1.1425,2.2062,-121.0,5,0,2709.23,3092.3
1777984075.2524705,3.654,97.78,45,24,0.0212,0.1972,0,20,4,0,0,44,False,7041.18,7170.6963,0.265,2.465,-132.25,41,1,3857.25,8099.98
1777984105.2657802,3.482,100.0,18,24,0.2081,0.1655,0,23,1,0,0,47,False,7372.42,7500.0,2.6013,2.0688,-132.25,20,2,5148.11,10533.19
1777984135.2793832,2.545,100.0,6,24,0.0471,0.1704,0,23,1,0,0,47,False,7370.47,7500.0,0.5887,2.13,-132.25,6,0,2504.6,3571.99
1777984165.2953036,3.65,92.86,14,20,0.0666,0.1815,4,20,0,0,0,40,False,6380.09,6467.2347,0.8325,2.2687,-90.25,15,1,3421.52,5769.79
1777984195.3110912,2.459,100.0,14,17,0.0073,0.1801,7,16,1,0,0,33,False,7438.34,7500.0,0.0912,2.2513,-64.0,14,0,2317.96,2865.2
1777984225.3249068,2.093,100.0,3,14,0.0866,0.1863,10,14,0,0,0,28,False,7461.16,7500.0,1.0825,2.3287,-42.25,4,0,2811.2,2968.54
1777984255.3379447,4.296,81.63,49,24,0.3067,0.1917,0,23,1,0,0,47,False,4871.57,4997.5927,3.8337,2.3963,-132.25,43,8,5118.59,10431.38
1777984285.3515453,3.054,100.0,19,24,0.062,0.1877,0,24,0,0,0,48,False,7370.87,7500.0,0.775,2.3462,-132.25,18,0,2965.49,5177.0
1777984315.3652709,2.985,100.0,19,22,0.0266,0.1771,2,22,0,0,0,44,False,7392.3,7500.0,0.3325,2.2138,-110.25,17,0,2888.5,6584.19
1777984345.380125,2.911,100.0,13,13,0.0286,0.1822,11,8,5,0,0,21,False,7466.64,7500.0,0.3575,2.2775,-36.0,12,0,2929.21,5432.3
