timestamp,avg_execution_time,throughput,requests,replicas,avg_cpu,avg_mem,cold,idle_on,busy,init_total,init_reserved,nsgd_cost,has_rejection,proxy_requests,proxy_rejections,avg_response_latency_ms,p99_response_latency_ms
1777925344.2179792,2.472,86.36,22,24,0.1894,0.1661,0,24,0,0,0,48,False,20,4,4543.28,10511.38
1777925374.2308152,1.494,100.0,2,24,0.0233,0.1602,0,24,0,0,0,48,False,3,0,1424.15,1415.71
1777925404.244538,3.316,82.35,17,14,0.0773,0.1768,10,14,0,0,0,28,False,16,3,4461.7,10079.84
1777925434.2576623,3.623,100.0,21,13,0.1591,0.2019,11,2,11,0,0,15,False,21,0,3328.7,8366.33
1777925464.270873,3.497,98.04,51,24,0.3331,0.1697,0,20,4,0,0,44,False,48,1,3551.36,8506.01
1777925494.2856977,3.386,100.0,13,24,0.0794,0.1649,0,24,0,0,0,48,False,11,0,3389.65,5196.09
1777925524.2985399,2.209,100.0,20,15,0.1285,0.1778,9,10,5,0,0,25,False,17,0,2213.5,3688.2
1777925554.3110714,3.21,100.0,22,20,0.1946,0.1848,0,0,20,4,4,640,True,28,0,3049.08,7447.57
1777925584.3238995,4.845,93.48,46,24,0.2105,0.1589,0,22,2,0,0,46,False,49,3,4940.42,10190.5
1777925614.3364131,5.9,100.0,4,22,0.0252,0.1673,2,17,5,0,0,39,False,13,1,3607.73,7929.65
1777925644.3505046,3.232,100.0,12,11,0.1408,0.178,13,11,0,0,0,22,False,10,0,3236.17,6627.61
1777925674.364109,2.685,100.0,10,10,0.1085,0.1786,14,8,2,0,0,18,False,15,1,4371.14,8369.98
1777925704.3780978,2.683,85.71,7,13,0.0721,0.1848,0,0,13,11,11,1368,True,16,1,3055.64,5573.68
1777925734.3920848,4.783,78.26,46,24,0.232,0.1599,0,21,3,0,0,45,False,43,9,5531.75,10734.33
1777925764.4066267,4.065,75.0,4,24,0.0521,0.1568,0,24,0,0,0,48,False,5,1,4788.98,5834.36
1777925794.4224472,2.086,100.0,9,15,0.0267,0.1798,9,12,3,0,0,27,False,14,0,3351.51,5682.73
1777925824.4351983,4.844,100.0,4,15,0.0942,0.1638,9,15,0,0,0,30,False,7,0,4395.17,8327.14
1777925854.4484735,2.904,62.5,16,15,0.1271,0.1939,9,14,1,0,0,29,False,14,5,5476.94,10121.18
1777925884.4606874,3.31,100.0,45,15,0.134,0.2041,9,11,4,0,0,26,False,49,2,3722.11,10008.52
1777925914.474063,1.984,75.0,16,15,0.2898,0.1922,9,13,2,0,0,28,False,14,4,4354.7,10371.04
1777925944.4875257,2.341,100.0,20,15,0.0865,0.1914,9,14,1,0,0,29,False,18,0,2317.09,3403.33
1777925974.5005867,2.518,100.0,16,15,0.0744,0.181,9,14,1,0,0,29,False,16,0,2587.03,3999.99
1777926004.5131724,3.199,100.0,2,15,0.0459,0.1845,9,15,0,0,0,30,False,3,0,3501.75,4099.41
1777926034.5265136,4.186,88.46,52,24,0.2184,0.2009,0,24,0,0,0,48,False,44,5,4416.48,10136.72
1777926064.5388708,2.35,100.0,18,24,0.0906,0.1708,0,24,0,0,0,48,False,17,0,2549.82,4861.89
1777926094.5518935,4.739,100.0,1,15,0.0113,0.179,9,12,3,0,0,27,False,8,1,2910.77,4611.68
1777926124.565419,2.887,100.0,12,11,0.0802,0.18,13,11,0,0,0,22,False,11,0,2836.94,4739.6
1777926154.5776584,3.45,100.0,18,11,0.1638,0.1959,13,11,0,0,0,22,False,16,0,3358.24,6682.19
1777926184.5895715,4.476,96.77,31,24,0.1114,0.2134,0,20,4,0,0,44,False,41,6,5579.71,10211.1
